"text","intent"
"like","general"
"what industries have you worked in","experiences"
"you know","general"
"do you have cloud computing experience","skills"
"hey there","general"
"where did you study","education"
"are you available","general"
"contact information","contact"
"do you have a minute","general"
"What lessons did you learn from this project?","projects"
"yes","general"
"about you","introduction"
"gotcha","general"
"John Doe here. My email is johndoe@example.com. I want to discuss a project with you.","userWantsToSendEmail"
"do you have skills in testing frameworks","skills"
"How is this project beneficial for scalability?","projects"
"do you have a portfolio","projects"
"How does the system handle files?","projects"
"can you share your recent projects","projects"
"how can I follow up with you","contact"
"Can I see a demo or walkthrough of the File Management System?","projects"
"do you provide chatbot development","services"
"Is MongoDB optimized for specific workloads?","projects"
"have you worked in agile or DevOps environments,experienceswhat skills do you have","skills"
"what skills do you have that are in demand today,skillscan you answer my question","general"
"have you worked on any open-source projects","projects"
"How is your portfolio website responsive?","projects"
"I see","general"
"what impact have your projects had","projects"
"what roles have you taken on","experiences"
"can you adapt to different technology stacks quickly","skills"
"who are you","introduction"
"What Linux commands were used for setup?","projects"
"what kind of projects have you completed","projects"
"can I get in touch with you","contact"
"can you build websites","services"
"can I know more about you","general"
"what languages do you code in","skills"
"How does MongoDB improve app performance?","projects"
"what lessons have you learned from your projects","projects"
"What Linux commands were used for setup?","projects"
"alrighty","general"
"do you provide help with predictive analytics","services"
"can you integrate AI into my system","services"
"roger that","general"
"do you have a LinkedIn profile","contact"
"can you share your recent projects","projects"
"What text extraction methods are implemented?","projects"
"do you know any low-code or no-code platforms","skills"
"What challenges did you face in building this project?","projects"
"how would you describe your career so far","experiences"
"is there a contact form","contact"
"maybe","general"
"can you help me","general"
"got it","general"
"what is your expertise","skills"
"good evening","general"
"Is the system optimized for performance?","projects"
"I wanted to ask if you are available for a new project. My name is John Doe, and my email is johndoe@example.com.","userWantsToSendEmail"
"can you help with scaling AI solutions","services"
"alright","general"
"What challenges did you face building your portfolio?","projects"
"have you worked in agile or DevOps environments,experienceswhat skills do you have","skills"
"what do you do","general"
"have you worked on any innovative or unique projects","projects"
"how do I reach you","contact"
"are you open to direct messages","contact"
"do you offer cloud infrastructure setup","services"
"How does this system enhance document handling?","projects"
"What challenges did you face during integration?","projects"
"have you worked in teams or independently","experiences"
"can we schedule a meeting","contact"
"how well do you know system design and architecture","skills"
"do you know any design patterns","skills"
"can you describe the most challenging project you have worked on","projects"
"can I get your phone number","contact"
"What is the File Management System project?","projects"
"What is the File Management System project?","projects"
"How portable is the integration across platforms?,projectshow can I contact you","contact"
"This is John Doe. My email is johndoe@example.com, and I wanted to ask if you are available for an upcoming project.","userWantsToSendEmail"
"This is Jane Smith, reaching out with my email: janesmith@example.com. My message is about a potential collaboration.","userWantsToSendEmail"
"how do you approach solving problems in your projects","projects"
"Hi, I’m Jane Smith. You can email me at janesmith@example.com. Let me know if you’re free to talk about a project.","userWantsToSendEmail"
"what have you done so far","experiences"
"are you comfortable working with microservices architecture","skills"
"can we talk","general"
"do you have experience in leadership or management","experiences"
"what languages do you code in","skills"
"can you help with automation using AI","services"
"Can I see your portfolio website?","projects"
"How did you install and configure MongoDB?","projects"
"How secure is the File Management System?","projects"
"can you build websites with integrated AI tools","services"
"what is this site about","general"
"Is your portfolio interactive or static?","projects"
"maybe","general"
"gotcha","general"
"What text extraction methods are implemented?","projects"
"My name is Jane Smith, and here is my email: janesmith@example.com. My message is I would like to discuss a potential project with you.","userWantsToSendEmail"
"do you assist with AI and machine learning model deployment","services"
"what companies or clients have you worked with","experiences"
"how versatile is your tech stack","skills"
"do you help with AI-powered system optimizations","services"
"what did you study","education"
"can you chat with me","general"
"What challenges did you face in building this project?","projects"
"can you help with scaling AI solutions","services"
"hey there","general"
"How does MongoDB improve app performance?","projects"
"your educational background","education"
"how can I find your WhatsApp or Telegram","contact"
"can I get your email address?","contact"
"how do I reach out to you?","contact"
"what is your contact information?","contact"
"can I message you on WhatsApp?","contact"
"how can I contact you directly?","contact"
"what’s your phone number?","contact"
"do you have a Telegram handle?","contact"
"where can I send you a message?","contact"
"how can I get in touch with you?","contact"
"do you have a LinkedIn profile?","contact"
Here’s the list for when people want to know the services you offer, in the required format:  
"what services do you provide?","services"
"can you tell me what you do?","services"
"what kind of work do you specialize in?","services"
"what services do you offer?","services"
"can you share details about your expertise?","services"
"what are your skills?","services"
"what projects can you help me with?","services"
"do you offer web development services?","services"
"what kind of solutions do you provide?","services"
"can you tell me about your offerings?","services"
